,iter,pn,ps,pns,llk_ratio,max_iter
65,66,0.9842285670376242,0.004116930547952727,0.004097931202619379,0.9997065614912195,500
66,67,0.9958326952394931,0.006072427391344795,0.0060441781148881015,0.9995053709664009,500
67,68,0.997138943295706,0.007686808295191296,0.007650902409490822,0.9992590322908822,500
68,69,0.998395346797915,0.014975983879981425,0.014906146284357082,0.9987111904010278,500
69,70,0.9872925764487062,0.004700206006469322,0.004678459269802935,0.9995418107977703,500
70,71,0.9951454998818655,0.006824971270109091,0.006793358413419637,0.9994884318066789,500
71,72,0.993597226343438,0.006889085663052035,0.00685714422937117,0.9994904361548476,500
72,73,0.9958286642603186,0.015003636204458689,0.014932743223463224,0.9985169997907115,500
73,74,0.9966643654002497,0.012326330018984285,0.012268279030990542,0.9988972462916971,500
74,75,0.9930536822525958,0.007011517623952716,0.006979137023701827,0.999407847233765,500
